0.00 	50000.00 	5000.00 	A µã
33070.83 	2789.48 	5163.52 	0
54832.89 	49179.22 	1448.30 	1
77991.55 	63982.18 	5945.82 	0
16937.18 	84714.34 	5360.29 	0
339.69 	14264.46 	3857.85 	1
3941.93 	74279.86 	9702.92 	1
45474.01 	26849.48 	6411.72 	1
86806.90 	5351.31 	4409.85 	0
23602.88 	68460.10 	88.47 	0
35987.31 	2169.08 	2390.30 	1
58063.15 	60162.06 	6595.36 	0
83578.44 	52199.36 	3003.02 	1
13777.62 	18492.22 	4492.09 	0
85280.70 	73958.43 	3494.81 	0
38614.44 	50390.52 	7020.08 	0
92783.00 	36473.22 	6620.87 	0
68526.50 	14799.99 	2779.12 	1
96903.47 	58915.30 	5468.23 	0
603.83 	71091.65 	1769.67 	1
82878.28 	956.38 	3325.77 	1
94478.22 	18044.83 	9343.82 	0
45820.91 	13695.29 	8554.99 	0
56152.29 	78326.60 	7516.46 	0
55016.61 	26541.68 	1271.20 	0
35414.70 	21216.71 	4696.79 	1
640.47 	83148.29 	8935.02 	1
49744.24 	57063.93 	2365.44 	0
32952.08 	60824.86 	2263.99 	0
2762.87 	66916.70 	9877.84 	0
68851.93 	24622.49 	5814.78 	0
38203.04 	13680.36 	9687.03 	0
51618.03 	27448.93 	9196.68 	1
47553.13 	63136.21 	6752.79 	1
67233.40 	14367.27 	7353.99 	1
53482.16 	96564.75 	9136.41 	1
49526.07 	49732.02 	132.55 	0
12626.70 	88815.71 	8452.57 	0
48457.28 	4741.17 	1278.26 	1
86766.40 	74993.45 	5328.86 	0
9019.95 	50399.89 	2569.95 	0
67999.35 	4769.21 	334.39 	0
35419.26 	36386.10 	7195.36 	1
78375.96 	98022.53 	6355.11 	1
68032.86 	82175.03 	3630.63 	0
51813.39 	47622.63 	1978.66 	1
91535.18 	56331.36 	806.14 	1
16078.31 	70358.70 	2186.34 	1
68705.11 	10867.81 	8891.75 	1
34923.86 	71703.30 	1998.63 	1
6595.13 	78414.11 	2512.42 	0
17989.64 	7085.59 	4737.74 	1
60525.54 	20588.70 	935.29 	0
75079.11 	65228.25 	9210.79 	1
88308.71 	10221.74 	8504.89 	0
24066.24 	36698.38 	6585.46 	1
43036.98 	56356.03 	9524.60 	1
14300.82 	33866.53 	3936.83 	0
45801.47 	87513.79 	1460.50 	1
77298.70 	53830.97 	2196.67 	1
58100.77 	88991.53 	2199.93 	0
44838.83 	58254.85 	7374.93 	1
38943.02 	5100.92 	2907.49 	0
41562.55 	11018.64 	5218.51 	0
20665.99 	49213.48 	8287.52 	1
37629.57 	86824.92 	3832.63 	0
